billing_account_id,service.id,service.description,sku.id,sku.description,usage_start_time,usage_end_time,project.id,project.number,project.name,project.labels.key,project.labels.value,project.ancestry_numbers,project.ancestors.resource_name,project.ancestors.display_name,labels.key,labels.value,system_labels.key,system_labels.value,location.location,location.country,location.region,location.zone,tags.key,tags.value,tags.inherited,tags.namespace,price.effective_price,price.tier_start_amount,price.unit,price.pricing_unit_quantity,price.list_price,price.effective_price_default,price.list_price_consumption_model,transaction_type,seller_name,export_time,cost,currency,currency_conversion_rate,usage.amount,usage.unit,usage.amount_in_pricing_units,usage.pricing_unit,credits.name,credits.amount,credits.full_name,credits.id,credits.type,invoice.month,invoice.publisher_type,cost_type,adjustment_info.id,adjustment_info.description,adjustment_info.mode,adjustment_info.type,cost_at_list,cost_at_effective_price_default,cost_at_list_consumption_model,consumption_model.id,consumption_model.description
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,0C3E-FFEC-0D6F,Network Internet Data Transfer Out from Seoul to EMEA,2025-07-09 16:00:00 UTC,2025-07-09 17:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 04:44:21.024678 UTC,0.008096,KRW,1354.595000,33780.000000,bytes,0.000031,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.008096,0.008096,0.008096,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,0C3E-FFEC-0D6F,Network Internet Data Transfer Out from Seoul to EMEA,2025-07-10 04:00:00 UTC,2025-07-10 05:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 14:12:04.606315 UTC,0.003334,KRW,1354.595000,13912.000000,bytes,0.000013,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.003334,0.003334,0.003334,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,0C3E-FFEC-0D6F,Network Internet Data Transfer Out from Seoul to EMEA,2025-07-10 06:00:00 UTC,2025-07-10 07:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 18:29:46.215185 UTC,0.000544,KRW,1354.595000,2270.000000,bytes,0.000002,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000544,0.000544,0.000544,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,0C3E-FFEC-0D6F,Network Internet Data Transfer Out from Seoul to EMEA,2025-07-09 11:00:00 UTC,2025-07-09 12:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 00:11:04.210856 UTC,0.003497,KRW,1354.595000,14592.000000,bytes,0.000014,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.003497,0.003497,0.003497,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,1560-00C4-92EE,Network Internet Data Transfer Out from Seoul to South America,2025-07-10 14:00:00 UTC,2025-07-10 15:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 22:53:14.947687 UTC,0.000063,KRW,1354.595000,264.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000063,0.000063,0.000063,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,1560-00C4-92EE,Network Internet Data Transfer Out from Seoul to South America,2025-07-10 08:00:00 UTC,2025-07-10 09:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 18:29:46.215185 UTC,0.000008,KRW,1354.595000,36.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000008,0.000008,0.000008,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,1560-00C4-92EE,Network Internet Data Transfer Out from Seoul to South America,2025-07-09 10:00:00 UTC,2025-07-09 11:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 00:11:04.210856 UTC,0.000008,KRW,1354.595000,34.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000008,0.000008,0.000008,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 14:00:00 UTC,2025-07-09 15:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 03:21:45.866093 UTC,0.005258,KRW,1354.595000,21940.000000,bytes,0.000020,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.005258,0.005258,0.005258,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 13:00:00 UTC,2025-07-09 14:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 02:35:02.347713 UTC,0.002696,KRW,1354.595000,11248.000000,bytes,0.000010,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.002696,0.002696,0.002696,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 23:00:00 UTC,2025-07-10 00:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 07:57:09.708897 UTC,0.001602,KRW,1354.595000,6684.000000,bytes,0.000006,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.001602,0.001602,0.001602,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-10 08:00:00 UTC,2025-07-10 09:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 18:29:46.215185 UTC,0.000021,KRW,1354.595000,88.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000021,0.000021,0.000021,7754-699E-0EBF,Default
01FD8E-B4DDC1-EAB69F,6F81-5844-456A,Compute Engine,70A1-9E75-5BB1,Network Internet Data Transfer Out from Seoul to South Korea,2025-07-09 19:00:00 UTC,2025-07-09 20:00:00 UTC,mkkang-project,539075679665,mkkang-project,,,/219641957767/,projects/539075679665,mkkang-project,goog-ops-agent-policy,v2-x86-template-1-4-0,,,asia-northeast3,KR,asia-northeast3,,,,,,257.373050089,0.000000,gibibyte,1.000000,257.373050089,257.373050089,257.373050089,GOOGLE,Google,2025-07-10 06:21:09.13032 UTC,0.000102,KRW,1354.595000,428.000000,bytes,0.000000,gibibyte,,,,,,202507,GOOGLE,regular,,,,,0.000102,0.000102,0.000102,7754-699E-0EBF,Default
